Number;Question;Answer;Error1;Error2;Error3
1;Вкажіть метод, що даж не базове уявлення про дані.;pandas.profiling.ProfileReport(df);df.describe();df.statistic();df.info()
2;Яка з центральних тенденції краще підійде для опису ряду: 2, 17, 19, 20, 18;медіана;мода;середнє значення;жодна відповідь
3;Вкажіть метод, що показує основні статичні характеристики даних по кожній числовій ознаці.;DataFrame.describe();DataFrame.select.dtypes();DataFrame.start();DataFrame.define()
4;Що входить до описової статистики:;min, Q1, median, Q3, max;Q1, Q2, Q4, median, moda;Q1, Q2, Q3, Q4, moda;Q1, median, Q3, max
5;Марафон пробігло 5 учасників. Їхні результати: 2.7 год, 8.3 год, 3.5 год, 5.1 год, 4.9 год. Знайти моду.;жодна відповідь;2.7;4.9;5.1
6;Середньоквадратичне відхилення обчислюється як:;корінь квадратний з дисперсії;квадрат дисперсії;середнє значення дисперсії;сума всіх спостережень до середнього значення у квадраті
7;До мір центральної тенденції включають:;середнє значення, медіану, моду;стандартне відхилення;мінімальне та максимальне значення змінної;медіану, моду
8;Обчисліть середнє значення та дисперсію для ряду: 5, 3, 2, 8, 2;4 5.20;4 5.26;4 4.50;4 4.85
9;Кореляційною залежністю називають …;статистичний взаємозв'язок двох або більше величин;міру кореляції;тісноту лінійної залежності;відношення множин
10;Чому буде дорівнювати коефіцієнт кореляції, якщо х=[1,0,1,2], y=[1,1,0,2];0.5;1.5;0.25;0.1
11;Значення коефіцієнта кореляції для х та у становить -0.85. Яке твердження неправильне:;Між х та у є негативний лінійний зв'язок;Ми не можемо стверджувати, що х  є причиною у;Між х та у є сильний лінійний зв'язок;Між х та у є позитивний лінійний зв'язок
12;Ви знайшли коефіцієнт кореляції між зростом людини в см та вагою в кілограмах. Нехай він становить 0.7. Чи зміниться цей коефіцієнт, якщо зріст перевести в метри?;Ні;Він буде більшим;Він буде меньшим;Недостатньо даних для відповіді
13;Якою буквою позначається коефіцієнт кореляції:;r;?;?;?
14;Коефіцієнт кореляції це …;міра кореляційної залежності;критерій, який дає якісну оцінку зв'язку між двома показниками;усе перераховане вірно;"число, що знаходиться у діапазоні [+1;+2]"
15;Коефіцієнт кореляції може приймати значення:;"[-1;+1]";"[-1; 0]";"[0;+1]";"[+1;+2]"
16;Як називається графік, який дає наочне уявлення про зв'язок двох змінних на якому кожен об'єкт являє собою точку?;matplotlib.pyplot.scatter();matplotlib.pyplot.streamplot();matplotlib.pyplot.boxplot();matplotlib.pyplot.hist()
17;Для чого застосовується Pandas dataframe.corr()?;для знаходження попарної кореляції всіх стовпців в наборі даних;для будь-який нечислових стовпців набору даних;для знаходження тільки коефіцієнта кореляції;для знаходження тільки рангові кореляції всіх стовпців
18;Нехай модель лінійної регресії y=-2x-100. Яке твердження не є правильним?;При збільшенні х на 1, у значення змінюється на -102;При збільшенні х на 1, у змінюється на -2;При х=20, у = -140;При х = 10, у = -120
19;Виберіть правильний запис функції corr(), щоб знайти кореляцію між х та у, якщо: x = pd.Series([1,0,1,2]) y = pd.Series([1,1,0,2]);x.corr(y);corr([1,0,1,2],[1,1,0,2]);corr(x,y);corr(x:[1,0,1,2],y:[1,1,0,2])
20;Якщо значення коефіцієнта кореляції по модулю близько до 1, то має місце … кореляція:;сильна;слабка;середня;незначна
21;За допомогою якоъ строки коду можна побудувати теплову карту, якщо задано настуний набір даних data = np.array([[.6,.3,.2],[.8,.4,.9]]);всі відповіді правильні;ax = sns.heatmap(data, square=True);mpl.imshow(data, cmap=cmap.hot) mpl.colorbar();"heatmap = plt.pcolor(data, cmap=""Blues"")"
22;Якщо значення коефіцієнта кореляції по модулю близько до 0, то має місце … кореляція:;слабка;сильна;незначна;середня
23;Об'єкт Series бібліотеки Pandas це ... ;одновимірний масив індексованих даних;двовимірний масив індексованих даних;рядок текстових даних;всі відповіді правильні
24;DataFrame складається з трьох різних компонентів: ;індексу, стовпців та даних;індексу, стовпців та рядків;лічильнику, стовпців та рядків;жодна відповідь
25;Функція tail(n) використовується для отримання: ;останніх n рядків;перших n рядків;останніх n стовпців;перших n стовців
